;; @T(#) @T(#)
;;
;; GENERATE_EDE_TEMPLATES version 2.35 (June 3, 1999)
;; PREPROCESS_1949_DATABASE version 2.3 (June 3, 1999)
;;
;;
;;
;; Point pair table: pptable1
;;
pptable1
	DBL 40.0000000000000	DBL 0.800000000000000
	DBL 50.0000000000000	DBL 0.999800000000000
	DBL 228.000000000000	DBL 4.48999000000000
	DBL 255.000000000000	DBL 5.01999000000000
	END
;;
;;
;; Point pair table: pptable57
;;
pptable57
	DBL 0.00000000000000	DBL 0.00000000000000
	DBL 2.00000000000000	DBL 0.0300000000000000
	DBL 6.00000000000000	DBL 1.03200000000000
	DBL 11.0000000000000	DBL 2.04900000000000
	DBL 16.0000000000000	DBL 3.03900000000000
	DBL 21.0000000000000	DBL 4.03200000000000
	DBL 26.0000000000000	DBL 5.04634000000000
	DBL 52.0000000000000	DBL 10.0563300000000
	DBL 78.0000000000000	DBL 15.0682400000000
	DBL 103.000000000000	DBL 19.9799400000000
	DBL 129.000000000000	DBL 25.0854400000000
	DBL 155.000000000000	DBL 30.1001200000000
	DBL 180.000000000000	DBL 35.1096000000000
	DBL 205.000000000000	DBL 40.0902000000000
	DBL 230.000000000000	DBL 45.1043700000000
	DBL 255.000000000000	DBL 50.3175200000000
	END
;;
;;
;; Point pair table: pptable59
;;
pptable59
	DBL 0.00000000000000	DBL 0.00000000000000
	DBL 4.00000000000000	DBL 0.0400000000000000
	DBL 5.00000000000000	DBL 0.100000000000000
	DBL 15.0000000000000	DBL 0.300000000000000
	DBL 30.0000000000000	DBL 0.599520000000000
	DBL 40.0000000000000	DBL 0.789980000000000
	DBL 50.0000000000000	DBL 0.990000000000000
	DBL 255.000000000000	DBL 5.00960000000000
	END
;;
;;
;; Point pair table: pptable60
;;
pptable60
	DBL 0.00000000000000	DBL 0.00000000000000
	DBL 2.00000000000000	DBL 0.0300000000000000
	DBL 6.00000000000000	DBL 1.03200000000000
	DBL 11.0000000000000	DBL 2.04900000000000
	DBL 16.0000000000000	DBL 3.03900000000000
	DBL 21.0000000000000	DBL 4.03200000000000
	DBL 26.0000000000000	DBL 5.04634000000000
	DBL 78.0000000000000	DBL 15.0663200000000
	DBL 104.000000000000	DBL 20.0782400000000
	DBL 129.000000000000	DBL 25.6993400000000
	DBL 155.000000000000	DBL 29.9999500000000
	DBL 181.000000000000	DBL 35.1095900000000
	DBL 206.000000000000	DBL 40.0902000000000
	DBL 231.000000000000	DBL 45.1022900000000
	DBL 255.000000000000	DBL 50.0100000000000
	END
;;
;;
;; Point pair table: pptable61
;;
pptable61
	DBL 0.00000000000000	DBL 0.00000000000000
	DBL 4.00000000000000	DBL 0.0400000000000000
	DBL 5.00000000000000	DBL 0.100000000000000
	DBL 10.0000000000000	DBL 0.200000000000000
	DBL 15.0000000000000	DBL 0.299680000000000
	DBL 30.0000000000000	DBL 0.590000000000000
	DBL 50.0000000000000	DBL 0.990000000000000
	DBL 76.0000000000000	DBL 1.49957000000000
	DBL 102.000000000000	DBL 1.99980000000000
	DBL 229.000000000000	DBL 4.49000000000000
	DBL 255.000000000000	DBL 4.99980000000000
	END
;;
;;
;; Point pair table: pptable71
;;
pptable71
	DBL 0.00000000000000	DBL 0.00000000000000
	DBL 2.00000000000000	DBL 0.120000000000000
	DBL 5.00000000000000	DBL 0.930000000000000
	DBL 10.0000000000000	DBL 1.95000000000000
	DBL 16.0000000000000	DBL 3.03900000000000
	DBL 21.0000000000000	DBL 4.03200000000000
	DBL 26.0000000000000	DBL 5.04634000000000
	DBL 52.0000000000000	DBL 10.0563300000000
	DBL 78.0000000000000	DBL 15.0682400000000
	DBL 103.000000000000	DBL 19.9799400000000
	DBL 129.000000000000	DBL 25.0863600000000
	DBL 155.000000000000	DBL 30.0982400000000
	DBL 180.000000000000	DBL 35.0098900000000
	DBL 205.000000000000	DBL 39.9900000000000
	DBL 231.000000000000	DBL 45.1001700000000
	DBL 255.000000000000	DBL 49.9073900000000
	END
;;
;;
;; Point pair table: pptable72
;;
pptable72
	DBL 0.00000000000000	DBL 0.00000000000000
	DBL 3.00000000000000	DBL 0.205000000000000
	DBL 6.00000000000000	DBL 1.03200000000000
	DBL 11.0000000000000	DBL 2.04900000000000
	DBL 16.0000000000000	DBL 3.03900000000000
	DBL 21.0000000000000	DBL 4.02274000000000
	DBL 26.0000000000000	DBL 4.94998000000000
	DBL 52.0000000000000	DBL 10.0563500000000
	DBL 78.0000000000000	DBL 15.0682400000000
	DBL 103.000000000000	DBL 19.9799400000000
	DBL 129.000000000000	DBL 24.9899600000000
	DBL 180.000000000000	DBL 35.0098900000000
	DBL 206.000000000000	DBL 40.0901400000000
