
                  Time                     X                     Y                     Z                    Vx                    Vy                    Vz
                     D                     D                     D                     D                     D                     D                     D
                     s                     m                     m                     m                   m/s                   m/s                   m/s
      7.9866000000E+07      7.5722389537E+10     -9.2516322796E+10      1.4426135561E+10      3.3622121438E+04      1.8153701608E+04      2.7296624805E+04
      7.9866300000E+07      7.5712302153E+10     -9.2521768158E+10      1.4417946573E+10      3.3622121438E+04      1.8151208310E+04      2.7294131507E+04
      7.9866600000E+07      7.5702216264E+10     -9.2527213521E+10      1.4409759082E+10      3.3624614735E+04      1.8148715013E+04      2.7294131507E+04
      7.9866900000E+07      7.5692127384E+10     -9.2532657387E+10      1.4401570094E+10      3.3627108033E+04      1.8143728417E+04      2.7296624805E+04
      7.9867200000E+07      7.5682039999E+10     -9.2538099758E+10      1.4393381107E+10      3.3627108033E+04      1.8143728417E+04      2.7296624805E+04
      7.9867500000E+07      7.5671951119E+10     -9.2543543624E+10      1.4385192120E+10      3.3632094629E+04      1.8143728417E+04      2.7296624805E+04
      7.9867800000E+07      7.5661860743E+10     -9.2548985995E+10      1.4377003132E+10      3.3632094629E+04      1.8138741821E+04      2.7296624805E+04
      7.9868100000E+07      7.5651771862E+10     -9.2554426869E+10      1.4368814145E+10      3.3634587927E+04      1.8136248523E+04      2.7296624805E+04
      7.9868400000E+07      7.5641679990E+10     -9.2559867744E+10      1.4360625157E+10      3.3637081225E+04      1.8136248523E+04      2.7296624805E+04
      7.9868700000E+07      7.5631589613E+10     -9.2565308618E+10      1.4352436170E+10      3.3637081225E+04      1.8133755225E+04      2.7296624805E+04
      7.9869000000E+07      7.5621497741E+10     -9.2570747997E+10      1.4344247182E+10      3.3639574523E+04      1.8131261928E+04      2.7296624805E+04
      7.9869300000E+07      7.5611405869E+10     -9.2576187375E+10      1.4336058195E+10      3.3639574523E+04      1.8128768630E+04      2.7299118103E+04
      7.9869600000E+07      7.5601313996E+10     -9.2581625258E+10      1.4327867711E+10      3.3642067820E+04      1.8126275332E+04      2.7299118103E+04
      7.9869900000E+07      7.5591220628E+10     -9.2587063141E+10      1.4319678724E+10      3.3644561118E+04      1.8126275332E+04      2.7296624805E+04
      7.9870200000E+07      7.5581127260E+10     -9.2592501023E+10      1.4311489737E+10      3.3644561118E+04      1.8123782034E+04      2.7299118103E+04
