"1DEP2AVO",4,1,119,11,0,8;
"1DEP2AVO",5,1,119,11,0,8;
"1DEP2AVO",6,1,86,32,0,8;
"1DEP2BVO",1,1,120,11,0,8;
"1DEP2BVO",2,1,120,11,0,8;
"1DEP2BVO",3,1,120,11,0,8;
"1DEP2BVO",4,1,120,11,0,8;
"1DEP2BVO",5,1,120,11,0,8;
"1DEP2BVO",6,1,87,32,0,8;
"1DEP3AVO",1,1,121,11,0,8;
"1DEP3AVO",2,1,121,11,0,8;
"1DEP3AVO",3,1,121,11,0,8;
"1DEP3AVO",4,1,121,11,0,8;
"1DEP3AVO",5,1,121,11,0,8;
"1DEP3AVO",6,1,88,32,0,8;
"1DEP3BVO",1,1,122,11,0,8;
"1DEP3BVO",2,1,122,11,0,8;
"1DEP3BVO",3,1,122,11,0,8;
"1DEP3BVO",4,1,122,11,0,8;
"1DEP3BVO",5,1,122,11,0,8;
"1DEP3BVO",6,1,89,32,0,8;
"1DEPSA",1,1,19,11,6,1;
"1DEPSA",2,1,19,11,6,1;
"1DEPSA",3,1,19,11,6,1;
"1DEPSA",4,1,19,11,6,1;
"1DEPSA",5,1,19,11,6,1;
"1DEPSA",6,1,13,32,6,1;
"1DEPSAX",1,1,18,11,1,1;
"1DEPSAX",2,1,18,11,1,1;
"1DEPSAX",3,1,18,11,1,1;
"1DEPSAX",4,1,18,11,1,1;
"1DEPSAX",5,1,18,11,1,1;
"1DEPSAX",6,1,12,32,1,1;
"1DEPSB",1,1,23,11,6,1;
"1DEPSB",2,1,23,11,6,1;
"1DEPSB",3,1,23,11,6,1;
"1DEPSB",4,1,23,11,6,1;
"1DEPSB",5,1,23,11,6,1;
"1DEPSB",6,1,17,32,6,1;
"1DEPSBX",1,1,22,11,1,1;
"1DEPSBX",2,1,22,11,1,1;
"1DEPSBX",3,1,22,11,1,1;
"1DEPSBX",4,1,22,11,1,1;
"1DEPSBX",5,1,22,11,1,1;
"1DEPSBX",6,1,16,32,1,1;
"1DP28AVO",1,1,123,11,0,8;
"1DP28AVO",2,1,123,11,0,8;
"1DP28AVO",3,1,123,11,0,8;
"1DP28AVO",4,1,123,11,0,8;
"1DP28AVO",5,1,123,11,0,8;
"1DP28AVO",6,1,90,32,0,8;
"1DP28BVO",1,1,124,11,0,8;
"1DP28BVO",2,1,124,11,0,8;
"1DP28BVO",3,1,124,11,0,8;
"1DP28BVO",4,1,124,11,0,8;
"1DP28BVO",5,1,124,11,0,8;
"1DP28BVO",6,1,91,32,0,8;
"1DPAMYT",1,1,125,11,0,8;
"1DPAMYT",2,1,125,11,0,8;
"1DPAMYT",3,1,125,11,0,8;
"1DPAMYT",4,1,125,11,0,8;
"1DPAMYT",5,1,125,11,0,8;
"1DPAMYT",6,1,92,32,0,8;
"1DPAMZT",1,1,126,11,0,8;
"1DPAMZT",2,1,126,11,0,8;
"1DPAMZT",3,1,126,11,0,8;
"1DPAMZT",4,1,126,11,0,8;
"1DPAMZT",5,1,126,11,0,8;
"1DPAMZT",6,1,93,32,0,8;
"1DPCPAOC",1,1,18,11,6,1;
"1DPCPAOC",2,1,18,11,6,1;
"1DPCPAOC",3,1,18,11,6,1;
"1DPCPAOC",4,1,18,11,6,1;
"1DPCPAOC",5,1,18,11,6,1;
"1DPCPAOC",6,1,12,32,6,1;
"1DPCPBOC",1,1,22,11,6,1;
"1DPCPBOC",2,1,22,11,6,1;
"1DPCPBOC",3,1,22,11,6,1;
"1DPCPBOC",4,1,22,11,6,1;
"1DPCPBOC",5,1,22,11,6,1;
"1DPCPBOC",6,1,16,32,6,1;
"1DPDBAON",1,1,18,11,3,1;
"1DPDBAON",2,1,18,11,3,1;
"1DPDBAON",3,1,18,11,3,1;
"1DPDBAON",4,1,18,11,3,1;
"1DPDBAON",5,1,18,11,3,1;
"1DPDBAON",6,1,12,32,3,1;
"1DPDBBON",1,1,22,11,3,1;
"1DPDBBON",2,1,22,11,3,1;
"1DPDBBON",3,1,22,11,3,1;
"1DPDBBON",4,1,22,11,3,1;
"1DPDBBON",5,1,22,11,3,1;
"1DPDBBON",6,1,16,32,3,1;
"1DPICACU",1,1,127,11,0,8;
"1DPICACU",2,1,127,11,0,8;
"1DPICACU",3,1,127,11,0,8;
"1DPICACU",4,1,127,11,0,8;
"1DPICACU",5,1,127,11,0,8;
"1DPICACU",6,1,94,32,0,8;
"1DPICBCU",1,1,115,14,0,8;
"1DPICBCU",2,1,115,14,0,8;
"1DPICBCU",3,1,115,14,0,8;
"1DPICBCU",4,1,115,14,0,8;
"1DPICBCU",5,1,115,14,0,8;
"1DPICBCU",6,1,95,32,0,8;
"1DPP0AVO",1,1,116,14,0,8;
"1DPP0AVO",2,1,116,14,0,8;
"1DPP0AVO",3,1,116,14,0,8;
"1DPP0AVO",4,1,116,14,0,8;
"1DPP0AVO",5,1,116,14,0,8;
"1DPP0AVO",6,1,96,32,0,8;
"1DPP0BVO",1,1,117,14,0,8;
"1DPP0BVO",2,1,117,14,0,8;
"1DPP0BVO",3,1,117,14,0,8;
"1DPP0BVO",4,1,117,14,0,8;
"1DPP0BVO",5,1,117,14,0,8;
"1DPP0BVO",6,1,97,32,0,8;
"1DPPSA",1,1,18,11,5,1;
"1DPPSA",2,1,18,11,5,1;
"1DPPSA",3,1,18,11,5,1;
"1DPPSA",4,1,18,11,5,1;
"1DPPSA",5,1,18,11,5,1;
"1DPPSA",6,1,12,32,5,1;
"1DPPSAX",1,1,18,11,4,1;
"1DPPSAX",2,1,18,11,4,1;
"1DPPSAX",3,1,18,11,4,1;
"1DPPSAX",4,1,18,11,4,1;
"1DPPSAX",5,1,18,11,4,1;
"1DPPSAX",6,1,12,32,4,1;
"1DPPSB",1,1,22,11,5,1;
"1DPPSB",2,1,22,11,5,1;
"1DPPSB",3,1,22,11,5,1;
"1DPPSB",4,1,22,11,5,1;
"1DPPSB",5,1,22,11,5,1;
"1DPPSB",6,1,16,32,5,1;
"1DPPSBX",1,1,22,11,4,1;
"1DPPSBX",2,1,22,11,4,1;
"1DPPSBX",3,1,22,11,4,1;
"1DPPSBX",4,1,22,11,4,1;
"1DPPSBX",5,1,22,11,4,1;
"1DPPSBX",6,1,16,32,4,1;
"1HOPRAPR",1,1,118,14,0,8;
"1HOPRAPR",2,1,118,14,0,8;
"1HOPRAPR",3,1,118,14,0,8;
"1HOPRAPR",4,1,118,14,0,8;
"1HOPRAPR",5,1,118,14,0,8;
"1HOPRAPR",6,1,0,63,0,8;
"1HOPRBPR",1,1,119,14,0,8;
"1HOPRBPR",2,1,119,14,0,8;
"1HOPRBPR",3,1,119,14,0,8;
"1HOPRBPR",4,1,119,14,0,8;
"1HOPRBPR",5,1,119,14,0,8;
"1HOPRBPR",6,1,4,63,0,8;
"1LVDBAON",1,1,18,11,0,1;
"1LVDBAON",2,1,18,11,0,1;
"1LVDBAON",3,1,18,11,0,1;
"1LVDBAON",4,1,18,11,0,1;
"1LVDBAON",5,1,18,11,0,1;
"1LVDBAON",6,1,12,32,0,1;
"1LVDBBON",1,1,22,11,0,1;
"1LVDBBON",2,1,22,11,0,1;
"1LVDBBON",3,1,22,11,0,1;
"1LVDBBON",4,1,22,11,0,1;
"1LVDBBON",5,1,22,11,0,1;
"1LVDBBON",6,1,16,32,0,1;
"1MAHCAT",1,1,120,14,0,8;
"1MAHCAT",2,1,120,14,0,8;
"1MAHCAT",3,1,120,14,0,8;
"1MAHCAT",4,1,120,14,0,8;
"1MAHCAT",5,1,120,14,0,8;
"1MAHCAT",6,1,120,109,0,8;
"1MAHCBT",1,1,121,14,0,8;
"1MAHCBT",2,1,121,14,0,8;
"1MAHCBT",3,1,121,14,0,8;
"1MAHCBT",4,1,121,14,0,8;
"1MAHCBT",5,1,121,14,0,8;
"1MAHCBT",6,1,121,109,0,8;
"1MAHOAT",1,1,122,14,0,8;
"1MAHOAT",2,1,122,14,0,8;
"1MAHOAT",3,1,122,14,0,8;
"1MAHOAT",4,1,0,65,0,8;
"1MAHOAT",5,1,122,14,0,8;
"1MAHOAT",6,1,122,109,0,8;
"1MAHOBT",1,1,123,14,0,8;
"1MAHOBT",2,1,123,14,0,8;
"1MAHOBT",3,1,123,14,0,8;
"1MAHOBT",4,1,0,72,0,8;
"1MAHOBT",5,1,123,14,0,8;
"1MAHOBT",6,1,123,109,0,8;
"1MCATATR",1,1,20,11,0,1;
"1MCATATR",2,1,20,11,0,1;
"1MCATATR",3,1,20,11,0,1;
"1MCATATR",4,1,20,11,0,1;
"1MCATATR",5,1,20,11,0,1;
"1MCATATR",6,1,14,32,0,1;
"1MCATBTR",1,1,24,11,0,1;
"1MCATBTR",2,1,24,11,0,1;
"1MCATBTR",3,1,24,11,0,1;
"1MCATBTR",4,1,24,11,0,1;
"1MCATBTR",5,1,24,11,0,1;
"1MCATBTR",6,1,18,32,0,1;
"1MCDRACL",1,1,20,11,2,1;
"1MCDRACL",2,1,20,11,2,1;
"1MCDRACL",3,1,20,11,2,1;
"1MCDRACL",4,1,20,11,2,1;
"1MCDRACL",5,1,20,11,2,1;
"1MCDRACL",6,1,14,32,2,1;
"1MCDRBCL",1,1,24,11,2,1;
"1MCDRBCL",2,1,24,11,2,1;
"1MCDRBCL",3,1,24,11,2,1;
"1MCDRBCL",4,1,24,11,2,1;
"1MCDRBCL",5,1,24,11,2,1;
"1MCDRBCL",6,1,18,32,2,1;
"1MDBUAON",1,1,20,11,4,1;
"1MDBUAON",2,1,20,11,4,1;
"1MDBUAON",3,1,20,11,4,1;
"1MDBUAON",4,1,20,11,4,1;
"1MDBUAON",5,1,20,11,4,1;
"1MDBUAON",6,1,14,32,4,1;
"1MDBUBON",1,1,24,11,4,1;
"1MDBUBON",2,1,24,11,4,1;
"1MDBUBON",3,1,24,11,4,1;
"1MDBUBON",4,1,24,11,4,1;
"1MDBUBON",5,1,24,11,4,1;
"1MDBUBON",6,1,18,32,4,1;
"1MECLACL",1,1,21,11,7,1;
"1MECLACL",2,1,21,11,7,1;
"1MECLACL",3,1,21,11,7,1;
